id;valor_total;data_inicio;data_fim;privacidade;tarefa
1;79149;2020-11-27T16:25:57;2020-11-27T17:59:26;Guatemala Towels Knoll;REUNIAO
2;76656;2020-11-27T18:24:49;2020-11-28T09:17:48;invoice;TELEFONE
3;30465;2020-11-28T05:28:40;2020-11-27T15:45:21;Generic Supervisor one-to-one;EMAIL
4;71063;2020-11-28T11:44:42;2020-11-27T20:06:59;Electronics Fish;TELEFONE
5;9102;2020-11-28T07:28:14;2020-11-28T01:12:30;Granite;VISITA
6;6845;2020-11-27T20:37:41;2020-11-28T11:20:08;AGP;REUNIAO
7;85117;2020-11-27T19:00:12;2020-11-28T06:25:05;frame Synchronised systematic;EMAIL
8;65633;2020-11-27T20:39:44;2020-11-28T12:10:47;Lakes;REUNIAO
9;96889;2020-11-27T18:28:00;2020-11-28T01:21:32;Infrastructure Ergonomic Plastic Car Cambridgeshire;VISITA
10;22209;2020-11-28T12:26:41;2020-11-28T02:29:04;Concrete;EMAIL
