id;nome_cliente;descricao;data
1;Sleek Wooden Hat technologies turquoise;Fantastic;2020-11-27
2;Florida;Lari Falkland Islands (Malvinas) Team-oriented;2020-11-27
3;back-end Home Tuna;bypass Implementation Fish;2020-11-28
4;Direct lavender;Station Checking Account;2020-11-28
5;mesh;fuchsia;2020-11-27
6;Frozen Electronics Ergonomic;integrated Licensed;2020-11-27
7;Crossroad Chief syndicate;Branding Ergonomic Central;2020-11-28
8;Personal Loan Account Bahrain;efficient Fantastic;2020-11-27
9;Books value-added alarm;Bedfordshire;2020-11-28
10;Way;Meadow;2020-11-27
