id;cod_produto_backoffice;valor_unitario;nome;descricao
1;26297;97554;program;Dynamic Strategist
2;94195;98038;Savings Account Antarctica (the territory South of 60 deg S) Soft;Synergistic
3;20980;96928;program Fresh time-frame;Mozambique Buckinghamshire bypass
4;47206;7723;withdrawal Tanzanian Shilling;parse withdrawal Cambridgeshire
5;7;50038;deposit Refined Granite Chair;El Salvador Colon US Dollar Technician
6;89778;57267;client-driven;Buckinghamshire Intelligent
7;19490;36031;pink Executive Customizable;Soap
8;19733;15792;programming Computers;backing up connect Customer
9;6559;34027;Lead;National Bacon Bedfordshire
10;98519;65343;array Face to face Won;navigating backing up
